name,description,address,city,state,zip,tcn
PHIOKA,Phillips 66 PL - Glenpool,10600 S Elwood,Jenks,OK,74037,T-73-OK-2608
PHXAZ/CK,Circle K Terminal,5333 W Van Buren St,Phoenix,AZ,85001,T-86-AZ-4313
PHXAZCAL,"Caljet of America, LLC",125 North 53rd Ave,Phoenix,AZ,85001,T-86-AZ-4300
PHXAZKMP,"SFPP, LP Phoenix Terminal",49 North 53rd Avenue,Phoenix,AZ,85001,T-86-AZ-4304
PHXAZPRO,"Pro Petroleum, Inc. - Phoenix",408 S 43rd Avenue,Phoenix,AZ,85001,T-86-AZ-4303
PNSFLTRM,TransMontaigne - Pensacola,511 South Clubbs St.,Pensacola,FL,32501,T-59-FL-2120
PORFLEXX,ExxonMobil Oil Corp.,1150 Spangler Blvd,Port Everglades,FL,33316,T-65-FL-2161
PORFLTRA,TransMontaigne - Fort Lauderdale,2401 Eisenhower Blvd.,Port Everglades,FL,33316,T-65-FL-2150
PRTBCKFL,"Buckeye Terminals, LLC - Fort Lauderdale",1501 SE 20th St.,Fort Lauderdale,FL,33301,T-65-FL-2156
PRVRIMO,Motiva Enterprises LLC,520 Allens Avenue,Providence,RI,2901,T-05-RI-1205
PSDTXP66,Phillips 66 PL - Pasadena,100 Jefferson Street,Pasadena,TX,77501,T-76-TX-2811
PTALAPLC,Placid Refining Co. LLC,1940 Louisiana Hwy One North,Port Allen,LA,70767,T-72-LA-2376
PTEFLMOT,Motiva Enterprises LLC,1200 SE 28th St,Port Everglades,FL,33316,T-65-FL-2164
PTFLMOT,Motiva Enterprises LLC,6500 W. Commerce St,Port Tampa City,FL,33616,T-59-FL-2124
PWSGAMAR,MPLX Powder Springs,3895 Anderson Farm Road NW,Powder Springs,GA,30073,T-58-GA-2545
QUCQCIMT,IMTT QUEBEC INC.,Pont De Quebec,Quebec,QC,NULL,NULL
RCHVAKM,Kinder Morgan Southeast Terminals LLC,2000 Trenton Avenue,Richmond,VA,23201,T-54-VA-1681
REVMAIRV,"Irving Oil Terminals, Inc.",41 Lee Burbank Highway,Revere,MA,2151,T-04-MA-1160
RICVABUC,"Buckeye Terminals, LLC - Richmond",1636 Commerce Road,Richmond,VA,23201,T-54-VA-1677
RICVACIT,CITGO - Richmond,Third & Maury Street,Richmond,VA,23201,T-54-VA-1679
RICVATPS,TransMontaigne - Richmond,700 Goodes Street,Richmond,VA,23201,T-54-VA-1678
RKFILBUC,"Buckeye Terminals, LLC - Rockford",1511 South Meridian Road,Rockford,IL,61101,T-36-IL-3306
ROAVAKM,Kinder Morgan Southeast Terminals LLC,835 Hollins Road Northeast,Roanoke,VA,24001,T-54-VA-1688
ROCILBP,Kinder Morgan Liquids Terminals LLC,100 East Standard Oil Road,Rochelle,IL,61045,T-36-IL-3303
RRMIBUBP,"Buckeye Terminals, LLC - River Rouge",205 Marion Street,River Rouge,MI,48218,T-38-MI-3005
